Reference, Quantity, Value, Footprint, Datasheet
C1 C2 C3 C20 ,4,"100n","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
C10 C11 C12 C13 C14 C15 ,6,"220n","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
C16 ,1,"680p","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
C5 C7 C8 C17 C9 C18 C19 C21 C22 ,9,"12105C106KAT2A","Capacitor_SMD:C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
C6 C4 ,2,"1n","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
D2 D1 ,2,"LL4148-GS08","Diode_SMD:D_MiniMELF_Handsoldering","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
D3 D4 D5 D6 D7 ,5,"BZX84C5V6LT3G","Package_TO_SOT_SMD:SOT-23",""
D8 ,1,"CMSH2-100M TR13","Diode_SMD:D_SMA_Handsoldering","~"
J1 ,1,"BAT+","bq76920:power_pin","~"
J2 ,1,"Conn_01x06","Connector_JST:JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical","~"
J3 ,1,"therm","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","~"
J4 ,1,"boot_switch","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","~"
J5 ,1,"BAT-","bq76920:power_pin","~"
J6 ,1,"PACK+","bq76920:power_pin","~"
J7 ,1,"PACK-","bq76920:power_pin","~"
J8 ,1,"mcu interface","Connector_JST:JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical","~"
L1 ,1,"744066100","bq76920:744066100","~"
Q1 Q3 ,2,"PSMN2R6-40YS","Package_TO_SOT_SMD:LFPAK56",""
Q2 ,1,"SI2337DS-T1-E3","Package_TO_SOT_SMD:SOT-23","~"
Q4 Q5 Q6 Q7 Q8 ,5,"NTR3C21NZ","Package_TO_SOT_SMD:SOT-23","~"
R1 R2 R4 R14 R15 R11 R22 R24 R26 R28 R30 ,11,"10k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R16 R17 R18 R19 R20 ,5,"220","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
R21 R23 R25 R27 R29 R31 ,6,"1k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R32 ,1,"100k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R33 ,1,"200k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R34 ,1,"40.2k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R35 ,1,"24k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R36 ,1,"127k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R5 ,1,"WSHP28185L000FEA","bq76920:WSHP28185L000FEA","~"
R6 R8 R10 R3 R37 ,5,"100","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R7 ,1,"500k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R9 R13 R12 ,3,"1Meg","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
U1 ,1,"bq76920","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm",""
U2 ,1,"MP4559","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.81mm_ThermalVias",""
